6-21-16_037_1-scale,2,J
6-21-16_035_1-scale,2,F
7-12-16_039_1-scale,4,C
7-12-16_039_3-scale,4,E
7-15-16_059_2-scale,8,E
7-13-16_047_3-scale,4,D
7-15-16_059_1-scale,8,A
7-13-16_041_1-scale,4,F
6-21-16_035_3-scale,2,H
6-10-16_011_3-scale,1,D
6-16-16_019_3-scale,2,G
7-12-16_065_1-scale,8,D
7-15-16_057_1-scale,8,H
6-10-16_011_2-scale,1,I
6-16-16_021_3-scale,2,J
7-13-16_047_1-scale,4,J
7-7-16_063_3-scale,8,I
6-10-16_009_1-scale,1,D
7-13-16_043_3-scale,4,C
6-7-16_003_3-scale,1,A
6-7-16_003_2-scale,1,I
7-13-16_043_2-scale,4,A
8F_wk4_6_XY03,4,F
XY01_9H_wk4_5_02_26_2021,4,J
H&E_3J_5_09_16_2020_02_shrink,1,A
6-7-16_001_3-scale,1,D
6-17-16_029_2-scale,2,J
6-21-16_037_2-scale,4,A
6-15-16_013_3-scale,1,G
2J_wk1_4,1,B
6-21-16_031_1-scale,2,I
6-21-16_035_2-scale,2,A
7-7-16_061_2-scale,8,J
6-9-16_007_2-scale,1,J
6-16-16_023_3-scale,2,E
6-9-16_007_1-scale,1,I
6-21-16_037_3-scale,4,B
15H_wk8_5_XY04,8,G
6-10-16_009_3-scale,1,J
14H_wk8_5_XY01,8,D
7-14-16_055_3-scale,8,F
12A-5-03_shrink,8,A
6-10-16_011_1-scale,1,E
12A-5-02_shrink,8,A
7-13-16_045_1-scale,4,E
Rat8B_5,4,B
7-14-16_051_2-scale,4,H
6-16-16_019_2-scale,2,E
7-15-16_057_3-scale,8,J
2A_wk1_3,1,A
7-14-16_053_1-scale,4,G
6-15-16_013_2-scale,1,C
7-14-16_055_1-scale,8,A
6-17-16_029_1-scale,2,B
7-12-16_065_2-scale,8,H
7-15-16_059_3-scale,8,G
9H_wk4_5_XY01,4,J
6-21-16_031_2-scale,2,D
6-15-16_015_3-scale,1,A
6-10-16_009_2-scale,1,B
6B_wk2_5,2,F
6-16-16_021_1-scale,2,H
6-15-16_015_2-scale,1,F
6-21-16_033_2-scale,2,G
6-21-16_033_3-scale,2,B
7-7-16_061_3-scale,8,H
3B_wk1-5_XY04_XY01,1,E
6-16-16_021_2-scale,2,I
6-17-16_027_2-scale,2,F
7-14-16_051_1-scale,4,D
12A-5-01_shrink,8,A
6-21-16_031_3-scale,2,H
3C_wk1-5_01_shrink,1,I
6-17-16_027_3-scale,2,D
7-7-16_061_1-scale,8,I
6-21-16_033_1-scale,2,C
6-17-16_029_3-scale,2,E
7-13-16_045_2-scale,4,G
7-14-16_049_1-scale,4,B
7-14-16_049_3-scale,4,I
7-13-16_041_3-scale,4,H
7-15-16_057_2-scale,8,I
H&E_2A_3_JFJ_09_16_2020_shrink,1,A
7-12-16_067_2-scale,8,G
6-17-16_025_1-scale,2,G
6-16-16_023_2-scale,2,C
7-14-16_051_3-scale,4,C
2G_wk1_4,1,H
7-13-16_041_2-scale,4,G
3C_wk1-5_04_shrink,1,I
H&E_3J_5_09_16_2020_01_shrink,1,A
6-17-16_025_3-scale,2,J
6-16-16_023_1-scale,2,A
